,Unnamed: 0,suburb,postcode,p_type,median_sell,avg_days_on_market,clearance,n_sold,h_range,l_range,median_rent,2022_median,2022_growth,2022_n_sold,2021_median,2021_growth,2021_n_sold,2020_median,2020_growth,2020_n_sold,2019_median,2019_growth,2019_n_sold,2018_median,2018_growth,2018_n_sold
4190,olinda,3788, 4_house,$1.25m,32 days,-,17,2.5m,795k,,$1.25m,25%,17,$1m,-,11,N/A,-,7,$850k,4.3%,15,$815k,-1.2%,13,
4191,olinda,3788, 5_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
4192,sherbrooke,3789, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4193,sherbrooke,3789, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4194,sherbrooke,3789, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4195,kallista,3791, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4196,kallista,3791, 3_house,$960k,15 days,-,14,1.676m,710k,,$960k,-,14,N/A,-,6,N/A,-,8,N/A,-,6,$683k,24.2%,14,
4197,kallista,3791, 4_house,$1.05m,-,-,11,1.5m,935k,,$1.05m,-,11,N/A,-,7,N/A,-,5,$815k,-6%,15,$867k,-,11,
4198,kallista,3791, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4199,the-patch,3792, 3_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
4200,the-patch,3792, 4_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
4201,the-patch,3792, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4202,monbulk,3793, 2_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
4203,monbulk,3793, 3_house,$800k,20 days,-,22,1.045m,726k,480,$800k,12.4%,22,$712k,9.5%,35,$650k,3.2%,36,$630k,-0.5%,23,$633k,13.8%,17,
4204,monbulk,3793, 4_house,$890k,22 days,-,21,1.19m,790k,,$890k,9.5%,21,$813k,10.6%,18,$735k,-2.3%,21,$752k,4.3%,11,$721k,6.5%,24,
4205,monbulk,3793, 5_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
4206,mount-evelyn,3796, 2_house,$740k,16 days,-,13,875k,651k,,$740k,-,13,N/A,-,7,N/A,-,6,N/A,-,8,$586k,6.5%,15,
4207,mount-evelyn,3796, 3_house,$822k,17 days,-,65,1.36m,695k,450,$822k,13.2%,65,$726k,12.4%,64,$646k,3.4%,66,$625k,-3.5%,79,$648k,13.5%,84,
4208,mount-evelyn,3796, 4_house,$955k,23 days,-,53,1.488m,710k,540,$955k,13.6%,53,$841k,7.1%,47,$785k,8.3%,55,$725k,-2.7%,45,$745k,11.2%,34,
4209,mount-evelyn,3796, 5_house,$1.176m,11 days,-,10,1.782m,890k,,$1.176m,-,10,N/A,-,9,N/A,-,6,$765k,-30.6%,10,$1.103m,56.5%,15,
4210,gladysdale,3797, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4211,gladysdale,3797, 3_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
4212,gladysdale,3797, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4213,gladysdale,3797, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4214,yarra-junction,3797, 2_house,$595k,52 days,-,15,790k,475k,,$595k,8%,15,$551k,-,12,N/A,-,1,N/A,-,7,N/A,-,8,
4215,yarra-junction,3797, 3_house,$710k,24 days,-,25,961k,450k,,$710k,14.9%,25,$618k,7.5%,21,$575k,4.5%,39,$550k,-,16,$550k,25%,45,
4216,yarra-junction,3797, 4_house,$850k,28 days,-,19,1.2m,643k,,$850k,20.1%,19,$708k,5.8%,10,$669k,2.9%,18,$650k,9.6%,17,$593k,6.1%,14,
4217,yarra-junction,3797, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4218,east-warburton,3799, 2_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
4219,east-warburton,3799, 3_house,$720k,23 days,-,15,900k,498k,,$720k,-,15,N/A,-,5,$571k,-,12,N/A,-,8,$429k,15.9%,10,
4220,east-warburton,3799, 4_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
4221,east-warburton,3799, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4222,mcmahons-creek,3799, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
4223,mcmahons-creek,3799, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4224,mcmahons-creek,3799, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4225,millgrove,3799, 2_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
4226,millgrove,3799, 3_house,$616k,14 days,-,36,712k,460k,,$616k,28.6%,36,$479k,11.9%,32,$428k,1.2%,34,$423k,2.9%,24,$411k,35.6%,32,
4227,millgrove,3799, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4228,millgrove,3799, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4229,reefton,3799, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4230,reefton,3799, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4231,reefton,3799, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4232,warburton,3799, 2_house,$720k,-,-,11,1.17m,580k,,$720k,41.2%,11,$510k,-,10,N/A,-,7,$462k,4.8%,10,$441k,28.9%,11,
4233,warburton,3799, 3_house,$725k,20 days,-,38,1.05m,600k,,$725k,11.5%,38,$650k,22.6%,36,$530k,1%,19,$525k,11.7%,27,$470k,14.9%,41,
4234,warburton,3799, 4_house,$738k,30 days,-,16,1.85m,600k,,$738k,2.5%,16,$720k,-,14,N/A,-,6,N/A,-,7,N/A,-,9,
4235,warburton,3799, 5_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
4236,wesburn,3799, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4237,wesburn,3799, 3_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
4238,wesburn,3799, 4_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
4239,endeavour-hills,3802, 2_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
4240,endeavour-hills,3802, 3_house,$741k,33 days,71%,126,895k,611k,410,$741k,9%,126,$680k,10%,163,$618k,4.7%,137,$590k,-6.9%,127,$634k,12%,142,
4241,endeavour-hills,3802, 4_house,$860k,33 days,73%,119,1.103m,700k,460,$860k,12.4%,119,$765k,14.2%,117,$670k,1.4%,94,$661k,-6.9%,84,$710k,13.8%,118,
4242,endeavour-hills,3802, 5_house,$985k,36 days,-,28,2.45m,800k,,$985k,14.5%,28,$860k4.4%292020$824k10.8%222019$744k,-1.1%,,$824k,10.8%,22,$744k,-1.1%,20,$752k,1.9%,15,
4243,endeavour-hills,3802, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
4244,endeavour-hills,3802, 2_unit,-,-,-,8,,,,,,,,,,,,,,,,,,,
4245,endeavour-hills,3802, 3_unit,$635k,40 days,-,19,720k,561k,,$635k,-,19,N/A,-,8,$594k,-,25,N/A,-,3,N/A,-,8,
4246,narre-warren-east,3804, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4247,narre-warren-east,3804, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4248,narre-warren-east,3804, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4249,narre-warren-east,3804, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4250,narre-warren-north,3804, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4251,narre-warren-north,3804, 3_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
4252,narre-warren-north,3804, 4_house,$1.553m,82 days,-,60,2.55m,906k,,$1.553m,15%,60,$1.35m,13.9%,49,$1.185m,0.4%,31,$1.18m,-0.8%,21,$1.19m,13.3%,41,
4253,narre-warren-north,3804, 5_house,$1.83m,74 days,-,26,2.725m,1.3m,,$1.83m,30.7%,26,$1.4m,9.8%,25,$1.275m,4%,22,$1.226m,-4.2%,21,$1.28m,7.3%,25,
4254,narre-warren,3805, 2_house,$550k,28 days,-,15,772k,440k,350,$550k,15.8%,15,$475k,-,21,N/A,-,6,$475k,5.6%,11,$450k,-6.2%,33,
4255,narre-warren,3805, 3_house,$706k,34 days,63%,234,835k,590k,400,$706k,13%,234,$625k,7.8%,261,$580k,5.5%,185,$550k,-8.3%,180,$600k,14.7%,250,
4256,narre-warren,3805, 4_house,$806k,25 days,38%,146,970k,665k,460,$806k,14.3%,146,$705k,7.6%,150,$655k,5.8%,115,$619k,-6.2%,110,$660k,10.9%,134,
4257,narre-warren,3805, 5_house,$870k,26 days,-,23,1.27m,695k,505,$870k,9.7%,23,$793k,9.2%,23,$726k,8.8%,18,$667k,-13.7%,16,$773k,19.7%,22,
4258,narre-warren,3805, 2_unit,$484k,33 days,-,26,570k,390k,350,$484k,17.2%,26,$413k-0.2%162020$414k,4.8%,,$414k,4.8%,20,$395k,-3.9%,16,$411k,14.8%,22,
4259,narre-warren,3805, 3_unit,-,-,-,9,,,,,,,,,,,,,,,,,,,
4260,narre-warren-south,3805, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4261,narre-warren-south,3805, 3_house,$695k,28 days,-,138,1.03m,570k,420,$695k,12.1%,138,$620k,5.1%,120,$590k,9.3%,105,$540k,-8.5%,93,$590k,18.2%,135,
4262,narre-warren-south,3805, 4_house,$830k,34 days,45%,264,1.321m,685k,480,$830k,10.5%,264,$751k,11.6%,248,$673k,4.2%,219,$646k,-4.2%,205,$674k,10.5%,254,
4263,narre-warren-south,3805, 5_house,$1.008m,32 days,29%,56,1.78m,761k,555,$1.008m,24.4%,56,$810k,8.3%,58,$748k,3.9%,28,$720k,-8.9%,38,$790k,15.2%,37,
4264,narre-warren-south,3805, 2_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
4265,narre-warren-south,3805, 3_unit,-,-,-,3,,,,,,,,,,,,,,,,,,,
4266,berwick,3806, 2_house,$596k,22 days,-,32,1.35m,370k,375,$596k,9.6%,32,$544k0.7%252020$540k2.5%252019$527k,7.8%,,$540k,2.5%,25,$527k,7.8%,20,$489k,7.5%,30,
4267,berwick,3806, 3_house,$745k,30 days,55%,328,1.15m,575k,420,$745k,14.3%,328,$652k,6%,386,$615k,2.7%,266,$599k,-4.9%,253,$630k,12.5%,358,
4268,berwick,3806, 4_house,$950k,35 days,51%,453,1.396m,735k,500,$950k,14.5%,453,$830k,12.6%,464,$737k,3.1%,346,$715k,-5.4%,351,$756k,11.2%,380,
4269,berwick,3806, 5_house,$1.156m,58 days,41%,92,2.58m,885k,580,$1.156m,11.2%,92,$1.04m,14.8%,86,$906k,4.7%,44,$865k,-2.7%,37,$889k,9.8%,57,
4270,berwick,3806, 2_unit,$608k,23 days,-,14,770k,490k,360,$608k,9.5%,14,$555k,15.4%,20,$481k,10.6%,15,$435k,-5.4%,17,$460k,15%,21,
4271,berwick,3806, 3_unit,$700k,37 days,-,29,1.22m,570k,420,$700k,12.2%,29,$624k,6.3%,26,$587k,4.1%,30,$564k,5.4%,21,$535k,5.7%,18,
4272,harkaway,3806, 3_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
4273,harkaway,3806, 4_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
4274,harkaway,3806, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4275,beaconsfield,3807, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4276,beaconsfield,3807, 3_house,$831k,32 days,-,48,1.24m,625k,430,$831k,22.2%,48,$680k,16.8%,44,$582k,-4.3%,42,$608k,-10.7%,27,$681k,23.6%,44,
4277,beaconsfield,3807, 4_house,$1.01m,29 days,-,55,1.82m,630k,480,$1.01m,9.2%,55,$925k,18.9%,71,$778k,0.4%,68,$775k,2%,65,$760k,12.8%,77,
4278,beaconsfield,3807, 5_house,$1.29m,23 days,-,17,2.6m,525k,,$1.29m,17.3%,17,$1.1m,16.4%,13,$945k,-,17,N/A,-,7,$1.003m,19.1%,12,
4279,beaconsfield,3807, 2_unit,-,-,-,5,,,,,,,,,,,,,,,,,,,
4280,beaconsfield,3807, 3_unit,-,-,-,6,,,,,,,,,,,,,,,,,,,
4281,guys-hill,3807, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4282,guys-hill,3807, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4283,guys-hill,3807, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4284,guys-hill,3807, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4285,beaconsfield-upper,3808, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4286,beaconsfield-upper,3808, 3_house,$1.18m,42 days,-,17,1.988m,800k,,$1.18m,36.4%,17,$865k,-,15,N/A,-,6,N/A,-,8,N/A,-,9,
4287,beaconsfield-upper,3808, 4_house,$1.3m,26 days,-,17,2.72m,165k,,$1.3m,4.2%,17,$1.248m,18.5%,16,$1.053m,2.2%,24,$1.03m,13.8%,13,$905k,1.6%,25,
4288,beaconsfield-upper,3808, 5_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
4289,officer,3809, 2_house,$450k,24 days,-,17,925k,400k,360,$450k,2%,17,$441k,-,28,N/A,-,4,N/A,-,6,N/A,-,2,
4290,officer,3809, 3_house,$614k,23 days,-,198,840k,470k,405,$614k,14.8%,198,$535k,-0.6%,215,$538k,7.4%,80,$501k,0.2%,91,$500k,12.6%,114,
4291,officer,3809, 4_house,$776k,32 days,-,223,1.2m,610k,460,$776k,19.4%,223,$650k,3.2%,273,$630k,5%,163,$600k,-3.8%,146,$624k,16%,126,
4292,officer,3809, 5_house,$1.075m,30 days,-,15,3.6m,700k,,$1.075m,25.7%,15,$855k,5.8%,21,$808k,-,10,N/A,-,8,$843k,-,10,
4293,officer,3809, 3_unit,-,-,-,6,,,,,,,,,,,,,,,,,,,
4294,officer-south,3809, 3_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
4295,officer-south,3809, 4_house,$770k,32 days,-,17,950k,615k,,$770k,-,17,N/A,-,3,$727k,-,10,N/A,-,3,N/A,-,,
4296,officer-south,3809, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4297,pakenham,3810, 2_house,$460k,15 days,-,67,685k,380k,350,$460k,11.9%,67,$411k,14.2%,48,$360k,-1.4%,17,$365k,-7.6%,23,$395k,19.7%,37,
4298,pakenham,3810, 3_house,$600k,21 days,-,670,725k,482k,383,$600k,13.2%,670,$530k,3.1%,549,$514k,5.5%,197,$487k,0.6%,269,$484k,12.6%,597,
4299,pakenham,3810, 4_house,$692k,26 days,64%,581,995k,590k,450,$692k,10.7%,581,$625k,7.8%,532,$580k,7.4%,392,$540k,-3.4%,383,$559k,15.3%,625,
4300,pakenham,3810, 5_house,$805k,30 days,-,53,1.125m,641k,530,$805k,5.9%,53,$760k,12.1%,46,$678k,5.4%,42,$643k,1.3%,41,$635k,11.2%,33,
4301,pakenham,3810, 2_unit,$435k,26 days,-,54,535k,370k,330,$435k,14.5%,54,$380k,8.6%,38,$350k,-0.6%,31,$352k,-4.9%,26,$370k,27.6%,27,
4302,pakenham,3810, 3_unit,$515k,14 days,-,37,630k,390k,370,$515k,18.4%,37,$435k,7.4%,40,$405k,3.8%,40,$390k,-6%,27,$415k,18.6%,35,
4303,pakenham-upper,3810, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4304,pakenham-upper,3810, 3_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
4305,pakenham-upper,3810, 4_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
4306,pakenham-upper,3810, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4307,nar-nar-goon,3812, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4308,nar-nar-goon,3812, 3_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
4309,nar-nar-goon,3812, 4_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
4310,nar-nar-goon-north,3812, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4311,nar-nar-goon-north,3812, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4312,tynong,3813, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4313,tynong,3813, 3_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
4314,tynong,3813, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4315,tynong-north,3813, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4316,tynong-north,3813, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4317,tynong-north,3813, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4318,cora-lynn,3814, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4319,cora-lynn,3814, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4320,garfield,3814, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4321,garfield,3814, 3_house,$695k,-,-,12,2.1m,565k,,$695k,27.1%,12,$547k,-,14,N/A,-,9,$488k,0.6%,14,$485k,18.3%,13,
4322,garfield,3814, 4_house,$884k,21 days,-,22,1.52m,775k,,$884k,30.4%,22,$678k,13%,14,$600k,-,11,N/A,-,6,N/A,-,8,
4323,garfield,3814, 5_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
4324,garfield,3814, 2_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
4325,garfield,3814, 3_unit,-,-,-,3,,,,,,,,,,,,,,,,,,,
4326,garfield-north,3814, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4327,garfield-north,3814, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4328,bunyip,3815, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4329,bunyip,3815, 3_house,$668k,35 days,-,16,1.375m,395k,,$668k,15.2%,16,$580k,3%,31,$563k,12.4%,10,$501k,1.2%,17,$495k,15.1%,27,
4330,bunyip,3815, 4_house,$810k,28 days,-,29,1.46m,620k,,$810k,17.2%,29,$691k,13.3%,36,$610k,-2.1%,18,$623k,-9.7%,12,$690k,18.4%,21,
4331,bunyip,3815, 5_house,$885k,-,-,10,1.86m,680k,,$885k,-,10,N/A,-,3,N/A,-,3,N/A,-,2,N/A,-,2,
4332,tonimbuk,3815, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4333,tonimbuk,3815, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4334,labertouche,3816, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4335,labertouche,3816, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4336,longwarry,3816, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4337,longwarry,3816, 3_house,$524k,29 days,-,48,885k,450k,390,$524k,19.4%,48,$439k,9.8%,42,$400k,-,39,$400k,11.1%,28,$360k,10.8%,32,
4338,longwarry,3816, 4_house,$600k,23 days,-,31,895k,510k,,$600k,20%,31,$500k,22.9%,45,$407k,-1.9%,23,$415k,-2.1%,29,$424k,16.8%,24,
4339,longwarry,3816, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4340,longwarry,3816, 2_unit,-,-,-,2,,,,,,,,,,,,,,,,,,,
4341,longwarry,3816, 3_unit,-,-,-,5,,,,,,,,,,,,,,,,,,,
4342,longwarry-north,3816, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4343,longwarry-north,3816, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4344,drouin-south,3818, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4345,drouin-south,3818, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4346,hallora,3818, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4347,hallora,3818, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4348,jindivick,3818, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4349,jindivick,3818, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4350,lillico,3820, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4351,warragul,3820, 2_house,$470k,26 days,-,23,700k,366k,340,$470k,22.4%,23,$384k,14.6%,26,$335k,6%,25,$316k,-1.2%,24,$320k,24%,45,
4352,warragul,3820, 3_house,$577k,32 days,-,208,1m,420k,390,$577k,19.5%,208,$483k,14.2%,221,$423k,0.7%,186,$420k,7.7%,156,$390k,14.7%,214,
4353,warragul,3820, 4_house,$742k,40 days,-,230,1.44m,550k,460,$742k,19.9%,230,$619k,16.8%,238,$530k,-,171,$530k,1%,137,$525k,15.9%,169,
4354,warragul,3820, 5_house,$993k,56 days,-,32,1.82m,600k,,$993k,26.5%,32,$785k,12.9%,27,$695k,23%,24,$565k,-19.3%,10,$700k,20.7%,19,
4355,warragul,3820, 2_unit,$374k,23 days,-,30,460k,289k,330,$374k,8.4%,30,$345k,17.3%,25,$294k,-1.3%,18,$298k,10.8%,12,$269k,-2.2%,17,
4356,warragul,3820, 3_unit,$405k,-,-,11,630k,300k,365,$405k,-,11,N/A,-,9,$351k,-,11,N/A,-,4,N/A,-,8,
4357,buln-buln,3821, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4358,buln-buln,3821, 3_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
4359,buln-buln,3821, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4360,nilma,3821, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4361,nilma,3821, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4362,rokeby,3821, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4363,rokeby,3821, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4364,warragul-south,3821, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4365,warragul-south,3821, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4366,darnum,3822, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4367,darnum,3822, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4368,darnum,3822, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4369,yarragon,3823, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4370,yarragon,3823, 3_house,$545k,-,-,13,1.12m,463k,,$545k,28.2%,13,$425k,10.4%,21,$385k,-5.6%,18,$408k,10.3%,18,$370k,10.4%,14,
4371,yarragon,3823, 4_house,$669k,47 days,-,20,930k,594k,,$669k,33.8%,20,$500k,-,21,N/A,-,7,$499k,20.8%,12,$413k,13.2%,10,
4372,yarragon,3823, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4373,yarragon,3823, 3_unit,-,-,-,2,,,,,,,,,,,,,,,,,,,
4374,trafalgar,3824, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4375,trafalgar,3824, 3_house,$530k,29 days,-,48,850k,399k,400,$530k,26.5%,48,$419k,2.2%,54,$410k,12.3%,46,$365k,12.3%,54,$325k,3.2%,74,
4376,trafalgar,3824, 4_house,$685k,71 days,-,28,785k,540k,,$685k,29.2%,28,$530k,2.9%,31,$515k,10%,21,$468k,0.6%,39,$465k,25.3%,39,
4377,trafalgar,3824, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4378,trafalgar-east,3824, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4379,trafalgar-east,3824, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4380,coalville,3825, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4381,erica,3825, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4382,erica,3825, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4383,erica,3825, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4384,erica,3825, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4385,hill-end,3825, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4386,hill-end,3825, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4387,moe-south,3825, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4388,moe-south,3825, 4_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
4389,moe-south,3825, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4390,newborough,3825, 2_house,$300k,-,-,13,450k,200k,,$300k,20.5%,13,$249k,-,15,N/A,-,9,$213k,9.8%,10,$194k,2.6%,13,
4391,newborough,3825, 3_house,$391k,21 days,-,95,530k,295k,365,$391k,23.3%,95,$317k,23.3%,104,$257k,-1.2%,95,$260k,14.5%,91,$227k,0.9%,106,
4392,newborough,3825, 4_house,$538k,51 days,-,28,720k,370k,,$538k,26.6%,28,$425k,16.4%,27,$365k,25.9%,31,$290k,-14.2%,35,$338k,3.7%,31,
4393,newborough,3825, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4394,newborough,3825, 1_unit,-,-,-,2,,,,,,,,,,,,,,,,,,,
4395,newborough,3825, 2_unit,-,-,-,9,,,,,,,,,,,,,,,,,,,
4396,newborough,3825, 3_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
4397,rawson,3825, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4398,rawson,3825, 3_house,$378k,-,-,10,580k,290k,,$378k,26%,10,$300k,-,13,N/A,-,3,N/A,-,7,N/A,-,3,
4399,rawson,3825, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4400,rawson,3825, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4401,tanjil-south,3825, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4402,walhalla,3825, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4403,walhalla,3825, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4404,willow-grove,3825, 3_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
4405,willow-grove,3825, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4406,yallourn-north,3825, 2_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
4407,yallourn-north,3825, 3_house,$340k,43 days,-,31,720k,235k,,$340k,47.8%,31,$230k,11.7%,21,$206k,-,14,N/A,-,8,$178k,1.7%,22,
4408,yallourn-north,3825, 4_house,-,-,-,9,,,,,,,,,,,,,,,,,,,
4409,neerim-south,3831, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4410,neerim-south,3831, 3_house,-,-,-,9,,,,,,,,,,,,,,,,,,,
4411,neerim-south,3831, 4_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
4412,neerim-south,3831, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4413,neerim-junction,3832, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4414,noojee,3833, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
4415,noojee,3833, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
4416,noojee,3833, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4417,piedmont,3833, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4418,piedmont,3833, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4419,hazelwood-north,3840, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
4420,hazelwood-north,3840, 3_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
4421,hazelwood-north,3840, 4_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
4422,hazelwood-north,3840, 5_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
4423,hazelwood-south,3840, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
